"unique_conditions";"col1";"col2";"r.squared";"pearson.corr"
"t0";"r1";"r2";0.953;0.976
"t0";"r1";"r3";0.92;0.959
"t0";"r2";"r3";0.91;0.954
"t29";"r1";"r2";0.92;0.959
"t29";"r1";"r3";0.923;0.961
"t29";"r2";"r3";0.912;0.955
"t7";"r1";"r2";0.977;0.989
"t7";"r1";"r3";0.957;0.978
"t7";"r2";"r3";0.967;0.984
"t44_g418";"r1";"r2";0.649;0.806
"t44_g418";"r1";"r3";0.705;0.84
"t44_g418";"r2";"r3";0.657;0.811
"t57";"r1";"r2";0.625;0.791
"t57";"r1";"r3";0.675;0.821
"t57";"r2";"r3";0.592;0.77
"t85_g418";"r1";"r2";0.0762;0.277
"t85_g418";"r1";"r3";0.0435;0.209
"t85_g418";"r2";"r3";0.0579;0.241
