"sgRNA"	"Gene"	"t0_r1"	"t0_r2"	"t0_r3"	"t29_r1"	"t29_r2"	"t29_r3"	"t7_r1"	"t7_r2"	"t7_r3"	"t44_g418_r1"	"t44_g418_r2"	"t44_g418_r3"	"t57_r1"	"t57_r2"	"t57_r3"	"t85_g418_r1"	"t85_g418_r2"	"t85_g418_r3"
"AADAT-1"	"AADAT"	1468	1653	1576	1636	1576	1872	1640	1794	1894	559	724	952	1886	433	1870	1	3	1759
"AADAT-2"	"AADAT"	1396	1415	1480	1762	1757	1223	1522	1549	1614	742	2241	545	1999	514	1562	2	3	3
"AADAT-3"	"AADAT"	1704	1625	1943	1859	2043	2273	1879	2049	2011	617	2380	930	2444	2620	2662	25	2	2
"AADAT-4"	"AADAT"	1874	1681	1902	1928	2103	2193	1923	2068	1905	1513	2884	1154	2397	892	2165	1	3	3
"AADAT-5"	"AADAT"	1346	1173	1250	1548	1774	1334	1509	1496	1300	928	837	784	1043	3349	1337	3	4	6
"AAGAB-1"	"AAGAB"	1320	1381	1270	232	267	291	1378	1388	1293	83	83	125	29	28	190	2	1	1
"AAGAB-2"	"AAGAB"	1397	1270	1147	391	518	454	1396	1394	1264	471	161	290	143	109	1	1	2	1
"AAGAB-3"	"AAGAB"	1973	1886	2038	444	555	406	2019	2124	1982	535	92	188	171	163	36	2	2	1
"AAGAB-4"	"AAGAB"	1438	1602	1659	2475	2113	2241	1884	2023	2160	1459	1092	12654	2747	1675	1420	3	3	880
"AAGAB-5"	"AAGAB"	2435	2376	2519	1666	1893	2074	2520	2437	2674	642	1077	1208	882	892	3194	11952	5	42
"ABLIM3-1"	"ABLIM3"	866	899	934	984	1253	1214	987	1174	1201	402	521	1061	673	1027	817	1	2	1
"ABLIM3-2"	"ABLIM3"	1299	1234	1322	1226	1544	1315	1277	1406	1236	445	714	611	1649	1081	793	4	2	2
"ABLIM3-3"	"ABLIM3"	1865	2289	2006	2849	2919	3182	2785	2686	2523	1674	1014	16557	1980	5265	1610	2	3	693
"ABLIM3-4"	"ABLIM3"	1238	1395	1245	1079	1255	1222	1312	1364	1489	429	538	895	1298	2809	1349	3	2	4
"ABLIM3-5"	"ABLIM3"	1288	1308	1315	1264	1519	1505	1257	1481	1417	1276	556	5679	1014	1675	1278	4	5	993
"ACE2-1"	"ACE2"	1371	1404	1639	1660	1579	1603	1685	1845	1512	594	598	1138	1459	757	652	4	2	4
"ACE2-2"	"ACE2"	1122	1016	1278	1339	1609	1569	1370	1434	1324	549	1344	658	1507	1945	1255	3	4	6
"ACE2-3"	"ACE2"	1431	1394	1363	1773	2036	2108	1719	1870	1921	3620	692	1615	1223	1108	2307	4512	3	3
"ACE2-4"	"ACE2"	1314	1589	1330	1527	2102	1994	1850	1794	1680	711	843	1818	1317	2998	2201	3	2	4
"ACE2-5"	"ACE2"	2387	2285	2349	3484	3365	3525	2964	2893	2917	1903	1526	1865	4717	3942	3360	4	2	26
"ACSL6-1"	"ACSL6"	1282	1101	1078	1475	1087	1011	1211	1334	1155	434	391	572	1119	1000	640	2	2	24
"ACSL6-2"	"ACSL6"	1252	1115	1233	1799	1767	1652	1428	1339	1385	733	1579	908	1431	1567	2118	2	2	1076
"ACSL6-3"	"ACSL6"	1533	1495	1460	1440	1608	1639	1606	1750	1638	704	7562	815	1204	1891	1349	1	1	3
"ACSL6-4"	"ACSL6"	1768	1754	1801	2196	1977	1912	2028	1999	1714	1141	707	929	1242	1675	2012	2	2	4
"ACSL6-5"	"ACSL6"	1489	1301	1521	1743	1847	2052	2134	1643	1849	743	728	1242	1100	1351	1941	3	1	771
"ADAM7-1"	"ADAM7"	2161	1957	2022	2175	2405	2132	2200	2197	2201	1601	824	1717	1639	730	2071	4	5	1425
"ADAM7-2"	"ADAM7"	995	1021	1074	884	1318	903	1177	1159	1216	359	588	502	598	946	379	4	1	1149
"ADAM7-3"	"ADAM7"	1158	1102	1302	1339	1550	1491	1407	1411	1325	641	610	1210	1535	1675	2272	4	2	1
"ADAM7-4"	"ADAM7"	1222	1373	1161	1340	1387	1380	1425	1306	1408	656	598	878	1725	1054	1515	2	2	2
"ADAM7-5"	"ADAM7"	959	802	1048	640	984	900	871	952	948	244	408	663	579	865	545	3	1	1
"ADAM9-1"	"ADAM9"	721	777	573	693	542	727	770	774	767	355	187	279	711	190	864	2	1	1
"ADAM9-2"	"ADAM9"	1247	1260	1424	1959	1711	1620	1341	1555	1479	1613	827	672	2198	1324	1704	4	3	1
"ADAM9-3"	"ADAM9"	953	782	841	968	817	712	901	861	851	433	342	430	863	1837	616	1	1	2
"ADAM9-4"	"ADAM9"	1686	1768	1741	1509	1646	1837	1578	1735	1787	744	673	858	1867	1864	1479	2	2	4
"ADAM9-5"	"ADAM9"	1917	1686	1748	2396	2087	1757	1982	1982	1857	1140	1210	1050	1706	2647	1728	3	4	1910
"ADH4-1"	"ADH4"	854	715	761	667	669	689	644	725	763	387	232	716	654	217	273	2	2	1
"ADH4-2"	"ADH4"	1597	1715	1675	1641	1563	1653	1686	1537	1768	2719	811	787	1109	973	1219	4	5	2
"ADH4-3"	"ADH4"	1433	1451	1268	1772	2212	2391	1742	2023	1884	740	1574	1168	2208	3052	1822	3	3	9
"ADH4-4"	"ADH4"	1537	1390	1255	1703	1651	1796	1711	1665	1824	639	924	949	1706	2296	2366	1	2	3
"ADH4-5"	"ADH4"	1315	1317	1286	1620	1430	1415	1382	1327	1390	901	589	873	3212	1189	1231	2	3	4
"AGR2-1"	"AGR2"	1158	1260	1033	1417	1154	1340	1341	1392	1339	639	556	506	1014	2161	2426	2	2	3
"AGR2-2"	"AGR2"	1099	1106	1032	1259	1212	1404	1128	1292	1257	733	580	691	1223	2269	1196	3	1	2
"AGR2-3"	"AGR2"	1461	1540	1324	1534	1826	1538	1765	1585	1706	575	788	630	1043	2377	1645	2	2	3
"AGR2-4"	"AGR2"	1671	1592	1783	1591	1630	1381	1652	1623	1752	613	1072	771	2141	379	1337	2	3	5
"AGR2-5"	"AGR2"	917	968	1046	568	812	480	856	875	766	215	1207	240	673	298	498	1	1	1
"AGT-1"	"AGT"	1025	1001	1200	1111	920	1047	1172	1207	1054	1973	489	924	1062	973	462	2	6	1
"AGT-2"	"AGT"	923	979	1083	1203	915	915	1095	914	961	442	359	258	1213	2566	900	1	2	126
"AGT-3"	"AGT"	761	846	730	786	1214	1016	986	1019	1106	286	533	596	1024	595	1586	2	3	1
"AGT-4"	"AGT"	1035	949	1135	1242	1072	1444	1105	1089	1318	591	319	859	1507	838	1763	1	3	2
"AGT-5"	"AGT"	1707	1675	1899	1590	2054	2129	1863	2059	2095	4052	6125	1706	1081	2674	2757	2	4	7
"AKAP2-1"	"AKAP2"	1278	1303	1296	1049	961	847	1166	1187	1204	2694	388	1829	588	838	533	1	2	2
"AKAP2-2"	"AKAP2"	1109	1150	1006	1245	1050	1139	1117	1212	1179	477	961	405	1204	1027	900	3	1	3
"AKAP2-3"	"AKAP2"	1133	1206	1203	1078	694	1120	1280	1086	1328	433	251	794	910	28	1148	4	2	2
"AKAP2-4"	"AKAP2"	1173	1202	1139	1477	1231	1534	1283	1312	1368	609	531	894	1100	1405	1479	2	2	2
"AKAP2-5"	"AKAP2"	1642	1792	1631	1987	1695	1839	1653	1581	1551	484	1128	767	65841	1864	3750	2	2	4
"ALDH1A3-1"	"ALDH1A3"	1331	1370	1369	1711	1521	1411	1576	1456	1462	632	817	495	2227	1189	1278	1177	2	3
"ALDH1A3-2"	"ALDH1A3"	2439	2184	2018	2760	2656	2906	2486	2743	2684	9325	2013	2728	2454	2485	2615	472	3	3
"ALDH1A3-3"	"ALDH1A3"	1453	1599	1742	1916	1434	1620	1730	1447	1591	785	525	734	815	541	628	2	3	2
"ALDH1A3-4"	"ALDH1A3"	1195	1305	1180	1968	1271	1582	1464	1402	1396	1299	3963	1251	1327	1216	3336	92013	14	4
"ALDH1A3-5"	"ALDH1A3"	1592	1581	1708	1638	1684	1568	1679	1691	1680	575	898	1525	2369	1810	912	4	2	2
"ALKBH6-1"	"ALKBH6"	935	916	943	913	1351	1098	966	981	1117	2106	1718	617	522	2134	1302	2	3	1
"ALKBH6-2"	"ALKBH6"	1295	1177	1248	1191	1567	1281	1188	1190	1291	366	500	491	730	1027	829	2	2	2
"ALKBH6-3"	"ALKBH6"	1985	1904	1931	1605	2045	1811	1912	1965	1825	613	1168	864	1611	2323	746	1727	1	4
"ALKBH6-4"	"ALKBH6"	1395	1576	1478	1548	1206	1685	1508	1327	1654	1084	508	703	664	1324	1621	3	2	1
"ALKBH6-5"	"ALKBH6"	1385	1335	1285	1237	1389	1185	1296	1258	1190	2652	860	885	1469	1864	1018	2	2	2
"ALS2CL-1"	"ALS2CL"	1113	1064	885	1370	1284	1157	1280	1155	1031	800	423	882	1715	2566	1385	3	2	2
"ALS2CL-2"	"ALS2CL"	1578	1593	1415	1879	1992	1985	1660	1671	1681	918	912	1236	1725	1540	2426	3	6409	2391
"ALS2CL-3"	"ALS2CL"	1873	2053	1895	2053	2355	2273	2165	2067	2315	952	1968	1457	1204	1486	2402	2	4	1
"ALS2CL-4"	"ALS2CL"	1421	1532	1560	1679	1523	1737	1395	1435	1669	916	2202	1164	1639	1810	793	9556	8	2
"ALS2CL-5"	"ALS2CL"	1854	2081	1979	2276	2274	2287	1976	2011	2213	32030	75549	1147	2302	3808	2165	22	5	5
"AMER3-1"	"AMER3"	2356	2448	2215	2409	2595	2830	2498	2593	2509	1249	2263	2824	1620	2944	3076	3	22	14
"AMER3-2"	"AMER3"	1893	1791	1621	1968	2019	1727	1962	1967	1849	869	883	772	1564	2188	1503	2	3	4
"AMER3-3"	"AMER3"	14	11	1	39	45	72	96	45	15	59	25	11	503	1	273	1	1	1
"AMER3-4"	"AMER3"	1270	1327	1425	1118	1068	1057	1157	1096	1205	417	472	495	872	703	711	6008	2	3
"AMER3-5"	"AMER3"	1911	2024	1920	2459	2547	2479	2234	2348	2326	1619	2545	1351	2056	2215	2012	4	2	1347
"APITD1-1"	"APITD1"	1292	1369	1311	481	518	576	1057	1051	1001	140	183	226	304	244	1	1	1	1
"APITD1-2"	"APITD1"	1577	1451	1440	906	909	1058	1565	1500	1642	261	270	276	39	649	592	2	2	4
"APITD1-3"	"APITD1"	1590	1516	1713	784	623	841	1376	1300	1385	3032	323	303	503	136	119	2	1	3
"APITD1-4"	"APITD1"	1511	1554	1439	909	803	716	1492	1505	1498	440	320	276	276	676	238	2	2	2
"APITD1-5"	"APITD1"	2124	2099	1895	1049	1203	1123	1811	2128	1876	256	405	560	493	244	285	2	2	2
"APOL1-1"	"APOL1"	2484	2363	2505	3105	2797	3000	2862	2780	2794	1106	1323	1501	3732	3754	2721	5	2	6
"APOL1-2"	"APOL1"	1625	1592	1544	1435	1313	1516	1517	1552	1603	466	578	1065	1478	487	1870	3	2	3
"APOL1-3"	"APOL1"	1542	1532	1404	1975	1872	1806	1494	1523	1545	794	789	825	2454	541	1645	145	4	4
"APOL1-4"	"APOL1"	1660	1944	1777	2365	3012	2494	2255	2337	2404	1086	1606	5248	1280	2620	1822	2	5	25450
"APOL1-5"	"APOL1"	1716	1869	1787	1798	1986	2105	1867	1982	1963	850	754	1124	1630	2107	994	4	2	4
"ARFGAP3-1"	"ARFGAP3"	1338	1425	1282	1352	1576	1548	1380	1652	1390	2058	411	1682	967	1108	1337	2	2	3525
"ARFGAP3-2"	"ARFGAP3"	1414	1539	1446	1697	2004	1908	1913	1734	1647	2017	2652	1654	1100	1594	1858	51	2	2
"ARFGAP3-3"	"ARFGAP3"	1079	1091	968	1188	960	1209	1211	1189	1269	422	242	680	1033	703	474	1	3	2587
"ARFGAP3-4"	"ARFGAP3"	1488	1411	1381	1502	1236	1343	1702	1508	1638	571	473	832	1800	2701	1219	1	1	4443
"ARFGAP3-5"	"ARFGAP3"	1057	1020	990	1138	807	979	1243	1002	1174	330	299	604	2103	1000	711	2	2	1
"ARFRP1-1"	"ARFRP1"	1147	1095	1015	85	3	43	287	245	309	25	4	11	67	28	1	1	1	1
"ARFRP1-2"	"ARFRP1"	1596	1282	1557	79	84	65	403	484	551	29	43	15	58	244	1	1	1	1
"ARFRP1-3"	"ARFRP1"	889	926	1117	439	474	389	569	669	655	102	153	184	181	271	155	1	1	1
"ARFRP1-4"	"ARFRP1"	1753	1656	1679	591	397	580	956	789	774	283	120	187	579	271	628	2	1	1
"ARFRP1-5"	"ARFRP1"	1245	1375	1097	11	13	26	386	358	314	8	11	2	20	1	1	1	1	1
"ARID3A-1"	"ARID3A"	1715	1823	1820	2153	2355	2460	1857	1803	1867	886	1620	2219	2605	3457	2721	2	64507	2
"ARID3A-2"	"ARID3A"	1478	1512	1474	1904	1935	1618	1675	1616	1645	1503	3405	3302	1942	1054	1054	283	48999	1
"ARID3A-3"	"ARID3A"	1856	1989	1790	1974	2436	2281	2104	2253	1941	3687	1794	1004	1270	2350	1278	3	2	229
"ARID3A-4"	"ARID3A"	1019	1089	1236	959	1101	1093	1048	1054	1210	484	3546	5831	1393	1189	1326	2	1	1168
"ARID3A-5"	"ARID3A"	1965	1755	1728	2038	2053	1548	1843	1792	1723	2127	1942	1095	2151	1972	2177	1	3	3
"ASCL2-1"	"ASCL2"	33	45	20	8	20	14	12	17	11	12	11	18	10	1	1	128	222	1
"ASCL2-2"	"ASCL2"	1122	1079	1144	1815	1521	1401	1335	1490	1274	861	7194	3577	1706	2026	2201	2	28501	2111
"ASCL2-3"	"ASCL2"	1412	1478	1394	1924	2104	2124	1625	2352	1746	721	1013	2072	1261	1459	1456	2	2	2
"ASCL2-4"	"ASCL2"	1767	1803	1791	2325	2166	2012	2096	1984	2197	6476	1222	998	2473	2485	2402	885	2	3
"ASCL2-5"	"ASCL2"	1703	1798	1826	1826	2178	1964	1957	2092	1809	805	13185	941	1753	2755	2236	4	411	4
"ASPG-1"	"ASPG"	903	928	992	931	791	1045	914	960	935	720	318	1033	1336	892	947	5660	2	1
"ASPG-2"	"ASPG"	1878	1810	1807	1655	1328	1368	1901	1830	1729	927	618	943	1422	487	1527	2	4	4
"ASPG-3"	"ASPG"	1909	1933	1815	1782	2349	1915	2112	2376	1985	700	1999	1872	1526	1972	2343	51	6	342
"ASPG-4"	"ASPG"	2785	2846	2797	3232	3207	3161	3234	3472	3431	1579	1307	1562	2681	2917	2414	9	5	7
"ASPG-5"	"ASPG"	1766	1828	1805	1348	1405	1348	1770	1566	1735	498	531	1044	2094	1783	1539	1	2	3
"ASPRV1-1"	"ASPRV1"	1218	1004	1040	786	1282	1191	1051	1141	1091	399	703	568	721	946	663	1	3	3
"ASPRV1-2"	"ASPRV1"	1336	1399	1298	1478	1254	1316	1417	1426	1462	1745	724	458	1043	1486	1267	2	3	6
"ASPRV1-3"	"ASPRV1"	1137	1280	1299	1042	972	1220	1290	1276	1334	439	887	792	1270	757	758	2	1	1845
"ASPRV1-4"	"ASPRV1"	1195	1258	1115	1010	1030	963	1033	1188	1153	322	525	693	1024	730	1065	2	2	1
"ASPRV1-5"	"ASPRV1"	1447	1310	1486	1803	1918	1715	1742	1679	1714	1578	873	1032	1213	1459	1775	4	2	3
"ASTE1-1"	"ASTE1"	1179	1364	1741	1782	1434	1929	1687	1642	1626	885	584	1079	2132	1027	1669	2	1	1158
"ASTE1-2"	"ASTE1"	1259	1374	1180	1686	1640	1319	1617	1462	1592	565	590	740	948	1486	971	2	2	4
"ASTE1-3"	"ASTE1"	1652	1595	1522	1518	1445	1444	1553	1564	1684	593	1487	991	920	649	1337	3	2	4
"ASTE1-4"	"ASTE1"	1926	1983	1793	2092	2515	2099	2066	2147	1921	1041	947	10236	1611	2755	1893	4	3	3301
"ASTE1-5"	"ASTE1"	1158	1289	1234	1582	1607	1864	1400	1445	1454	1721	849	1065	2776	1000	11426	1688	2	4
"ASXL1-1"	"ASXL1"	685	624	644	520	394	481	878	685	735	218	134	255	48	622	96	2	2	1
"ASXL1-2"	"ASXL1"	1616	1475	1703	2449	1835	2679	2277	1842	2110	1336	1463	5896	2302	1567	2059	1	1	5
"ASXL1-3"	"ASXL1"	1680	1862	1817	1497	1635	1390	1925	1944	1751	1038	1436	543	2094	1918	1929	2	2	3
"ASXL1-4"	"ASXL1"	1217	1074	1119	791	959	1076	1343	1080	1041	432	344	543	446	325	486	1	3	1
"ASXL1-5"	"ASXL1"	860	1050	837	902	856	1158	1118	1031	1191	471	2109	448	664	784	1929	4	2	3
"ATF6B-1"	"ATF6B"	1240	1408	1443	1161	1375	1222	1201	1363	1385	373	1062	760	834	622	971	2	3	2
"ATF6B-2"	"ATF6B"	1306	1209	972	1452	1223	1149	1358	1234	1216	659	463	580	1043	514	1042	1	2	3
"ATF6B-3"	"ATF6B"	1451	1427	1403	1219	1226	1618	1391	1276	1515	527	1193	2506	730	1702	1621	4	3	5228
"ATF6B-4"	"ATF6B"	1476	1379	1440	1677	1691	1504	1588	1554	1571	1590	2351	1615	1611	3106	1125	2	1063	2
"ATF6B-5"	"ATF6B"	2034	1816	1698	1796	1935	1433	1669	1751	1563	574	1270	680	1905	973	935	2	8	2
"ATP5L-1"	"ATP5L"	2082	2031	1819	1489	1484	1360	1975	1860	1951	522	443	541	1526	2971	379	2	2	1
"ATP5L-2"	"ATP5L"	1646	1530	1701	1065	1157	923	1857	1766	1820	233	233	362	522	109	581	2	2	2
"ATP5L-3"	"ATP5L"	1048	1126	1067	438	434	393	696	826	768	80	388	70	541	730	72	2	1	2
"ATP5L-4"	"ATP5L"	580	611	564	97	81	122	202	223	225	8	11	21	10	55	1	1	1	1
"ATP5L-5"	"ATP5L"	1952	2070	1945	822	744	823	1663	1479	1756	244	176	602	181	460	36	1	1	1
"ATP9A-1"	"ATP9A"	2335	2274	2228	2899	2997	2298	2691	2571	2444	2244	4128	1490	3268	4617	1243	63	2	5556
"ATP9A-2"	"ATP9A"	1310	1392	1290	1285	1186	1240	1312	1309	1421	2217	748	1518	948	676	415	4863	3	6
"ATP9A-3"	"ATP9A"	1017	1223	1302	1318	1341	1194	1330	1427	1379	519	727	761	882	541	652	4	2	4
"ATP9A-4"	"ATP9A"	1072	1109	1023	1127	849	959	1153	1015	1001	578	418	787	1147	838	1444	4	2	4
"ATP9A-5"	"ATP9A"	1286	1408	1110	1362	1490	1595	1349	1622	1429	594	979	575	1052	1540	1231	4	2	3
"AXIN2-1"	"AXIN2"	1691	1681	1878	2304	2405	2172	2161	2061	2186	1435	975	1906	2577	2269	841	2	5	3
"AXIN2-2"	"AXIN2"	1603	1672	1586	1671	1668	2080	1494	1543	1839	851	814	1032	2975	2404	2236	2	1800	3
"AXIN2-3"	"AXIN2"	1709	1709	1593	1511	1695	1578	1693	1634	1718	838	1302	682	1668	1594	2225	2	3	50
"AXIN2-4"	"AXIN2"	577	657	623	1026	1066	917	609	761	659	410	937	508	1119	1594	888	2	1	3
"AXIN2-5"	"AXIN2"	1346	1207	1255	1956	1864	1899	1395	1342	1451	1438	1453	1027	1289	757	1479	4	2	2
"B3GALNT1-1"	"B3GALNT1"	893	1006	998	879	858	887	1018	921	954	644	354	468	920	1405	1054	2	1	133
"B3GALNT1-2"	"B3GALNT1"	1422	1606	1496	2022	1957	1807	1946	1803	1767	639	1218	1214	1696	1594	1728	2	4	3
"B3GALNT1-3"	"B3GALNT1"	993	965	1086	1154	1099	874	952	1018	953	527	459	393	882	1594	782	7	1	2
"B3GALNT1-4"	"B3GALNT1"	1331	1320	1321	978	1204	1046	1305	1232	1291	314	1117	438	1024	1378	1456	2	2	1
"B3GALNT1-5"	"B3GALNT1"	794	668	637	768	643	686	727	729	843	562	215	587	295	460	415	1	1	1
"B3GNT5-1"	"B3GNT5"	2175	2216	2266	3470	3088	2287	2821	2632	2484	1757	1887	3989	2823	2539	1893	5	3	2
"B3GNT5-2"	"B3GNT5"	1688	1985	1854	2041	2233	2173	2106	1988	2136	941	1268	1571	2463	2053	1822	2	2	4
"B3GNT5-3"	"B3GNT5"	989	941	919	810	840	821	943	904	864	331	334	549	1175	379	309	3	2	2
"B3GNT5-4"	"B3GNT5"	1433	1333	1454	1305	1441	1673	1497	1353	1498	1166	1575	928	1441	2377	1479	2	2	2180
"B3GNT5-5"	"B3GNT5"	758	744	769	553	854	623	683	751	725	310	319	729	86	1405	379	1	1	2
"BCL2L10-1"	"BCL2L10"	2102	2206	1876	2325	2618	2458	2511	2384	2175	1972	2324	1433	3145	1405	2887	9466	8	19
"BCL2L10-2"	"BCL2L10"	1729	1862	1919	2267	2217	2289	2105	2007	2211	855	1118	1147	2804	2620	2248	1	4	2
"BCL2L10-3"	"BCL2L10"	1785	1726	1827	1716	1931	1850	1677	1694	1654	729	6810	928	2151	1297	1278	2	2	138
"BCL2L10-4"	"BCL2L10"	1325	1293	1433	1196	1380	1470	1096	1331	1341	767	933	922	1403	1162	628	2	4	2
"BCL2L10-5"	"BCL2L10"	1079	1227	1334	1049	1126	1431	1075	1219	1186	739	11449	4992	645	784	1290	1	5659	3
"BCL6-1"	"BCL6"	1933	2040	1826	2307	1811	2349	2063	2051	2266	926	1600	1905	2435	1135	2118	8084	5	1264
"BCL6-2"	"BCL6"	26	34	10	7	5	2	8	8	15	11	12	9	20	325	155	2	1	1
"BCL6-3"	"BCL6"	1780	1796	1865	1994	2151	2114	1972	2021	1974	837	873	2166	1185	2782	1539	2	3	3
"BCL6-4"	"BCL6"	11	37	22	14	2	5	5	18	12	9	48	7	124	379	1	1	1	1
"BCL6-5"	"BCL6"	1763	2086	2140	1633	2012	1728	1922	1938	1609	645	951	12106	1308	2755	1763	2	2	4
"BCOR-1"	"BCOR"	973	1015	998	1005	908	1089	985	1094	1106	350	1132	438	1062	784	569	2	2	2
"BCOR-2"	"BCOR"	1432	1517	1635	2214	1634	1850	1837	1868	2249	847	14962	17993	1422	1297	2568	6	3	5541
"BCOR-3"	"BCOR"	1572	1483	1424	1666	1607	1680	1821	1849	1836	753	634	677	1137	973	1125	2	3	2
"BCOR-4"	"BCOR"	1209	1326	1327	1666	1344	1372	1455	1316	1393	619	600	1526	1270	1918	1065	2	2	1
"BCOR-5"	"BCOR"	1177	1293	1284	1653	1536	1180	1493	1447	1367	764	764	631	1071	838	521	2	3	1
"BLCAP-1"	"BLCAP"	1797	1832	1769	1977	2306	1563	1940	1933	1823	676	1887	709	1848	2647	1420	4	2	2
"BLCAP-2"	"BLCAP"	1665	1834	1650	1655	2060	1956	1764	2068	1817	462	920	883	1289	487	1728	3	2	3
"BLCAP-3"	"BLCAP"	2350	2238	2186	2565	3208	2898	2658	2799	2836	3505	5308	2744	2208	3052	2284	3	2205	1950
