"sample";"deseq2";"total";"ratioDT"
"t0_r1";5.9;2;2.94
"t0_r2";4.53;1.56;2.9
"t0_r3";6.43;2.21;2.91
"t29_r1";4.67;1.43;3.26
"t29_r2";6.33;1.93;3.28
"t29_r3";4.37;1.34;3.26
"t44_g418_r1";2.99;1.85;1.62
"t44_g418_r2";2.28;1.36;1.68
"t44_g418_r3";3.78;1.92;1.96
"t57_r1";0.305;0.106;2.89
"t57_r2";0.103;0.037;2.79
"t57_r3";0.241;0.0846;2.85
"t7_r1";6.58;2.02;3.25
"t7_r2";6.21;1.9;3.27
"t7_r3";5.67;1.74;3.26
"t85_g418_r1";0.00559;1.54;0.00362
"t85_g418_r2";0.00531;1.98;0.00268
"t85_g418_r3";0.00561;1.19;0.0047
