GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
FEN1	-31.12	5	-8.00	6.26e-16	1	5.05e-13	1	807	1
ERCC1	-26.95	5	-6.90	2.68e-12	2	1.08e-09	1	806	1
RAD1	-20.74	5	-5.25	7.51e-08	3	2.02e-05	1	805	1
RMI1	-17.77	5	-4.47	3.98e-06	4	0.000803	1	804	1
TOP3A	-16.90	5	-4.24	1.14e-05	5	0.00143	1	803	1
AAGAB	-16.86	5	-4.23	1.19e-05	6	0.00143	1	802	1
HNRNPL	-16.82	5	-4.22	1.24e-05	7	0.00143	1	801	1
VEZT	-16.33	5	-4.09	2.18e-05	8	0.0022	1	800	1
ERCC4	-15.70	5	-3.92	4.41e-05	9	0.00395	1	799	1
MRPS26	-14.70	5	-3.65	0.000129	10	0.0104	1	798	1
FANCA	-13.27	5	-3.28	0.000527	11	0.0365	0.999	797	1
DYNLRB1	-13.23	5	-3.27	0.000543	12	0.0365	0.999	796	1
PCYT1A	-12.98	5	-3.20	0.000689	13	0.0428	0.999	795	1
RPL30	-12.83	5	-3.16	0.000789	14	0.0455	0.999	794	1
PEX10	-12.72	5	-3.13	0.000874	15	0.047	0.999	793	1
DHX36	-12.52	5	-3.08	0.00104	16	0.0524	0.999	792	1
ARFRP1	-12.42	5	-3.05	0.00114	17	0.0541	0.999	791	1
FANCG	-12.12	5	-2.97	0.00148	18	0.0665	0.999	790	1
COPS8	-11.66	5	-2.85	0.00218	19	0.0928	0.998	789	1
COPS4	-11.43	5	-2.79	0.00264	20	0.102	0.997	788	1
BLM	-11.42	5	-2.79	0.00267	21	0.102	0.997	787	1
DIMT1	-11.15	5	-2.72	0.0033	22	0.121	0.997	786	1
EMG1	-11.04	5	-2.69	0.0036	23	0.122	0.996	785	1
RFC2	-11.00	5	-2.68	0.00372	24	0.122	0.996	784	1
RFC3	-10.99	5	-2.67	0.00377	25	0.122	0.996	783	1
COPS2	-10.52	5	-2.55	0.0054	26	0.168	0.995	782	1
NUP93	-10.31	5	-2.49	0.00634	27	0.175	0.994	781	1
SSR2	-10.29	5	-2.49	0.00644	28	0.175	0.994	780	1
COPS6	-10.26	5	-2.48	0.00657	29	0.175	0.993	779	1
RPL35A	-10.20	5	-2.47	0.00684	30	0.175	0.993	778	1
RPS13	-10.20	5	-2.47	0.00685	31	0.175	0.993	777	1
APITD1	-10.18	5	-2.46	0.00695	32	0.175	0.993	776	1
GTPBP10	-10.14	5	-2.45	0.00719	33	0.176	0.993	775	1
EXO1	-9.92	5	-2.39	0.0084	34	0.197	0.992	774	1
TFG	-9.90	5	-2.38	0.00857	35	0.197	0.991	773	1
MUS81	-9.86	5	-2.37	0.00879	36	0.197	0.991	772	1
TMEM30A	-9.53	5	-2.29	0.0111	37	0.243	0.989	771	1
RPL27	-9.09	5	-2.17	0.015	38	0.319	0.985	770	1
ATP5L	-8.90	5	-2.12	0.0169	39	0.349	0.983	769	1
RPA1	-8.84	5	-2.10	0.0177	40	0.349	0.982	768	1
RPL5	-8.83	5	-2.10	0.0177	41	0.349	0.982	767	1
POLD2	-8.47	5	-2.01	0.0223	42	0.429	0.978	766	1
POLD1	-8.41	5	-1.99	0.0232	43	0.436	0.977	765	1
RAD51	-8.22	5	-1.94	0.0261	44	0.479	0.974	764	1
