	GENE	ctrl_mean_reads	mean_fc	eb_std	zscore	std sgRNAs/gene	numObs
MED12-2	MED12	6641.667	1.970	0.321	6.143	0.213	5.000
MED12-4	MED12	4857.000	1.942	0.321	6.057	0.213	5.000
MED12-3	MED12	3843.000	2.097	0.321	6.539	0.213	5.000
EPDR1-4	EPDR1	3702.000	-0.032	0.321	-0.100	0.164	5.000
MED12-1	MED12	3694.333	2.117	0.321	6.602	0.213	5.000
IQSEC3-1	IQSEC3	3646.000	-0.031	0.321	-0.095	0.114	5.000
EYA1-5	EYA1	3546.667	0.157	0.321	0.491	0.224	5.000
GRP-5	GRP	3496.667	0.196	0.321	0.610	0.421	5.000
PSMB3-4	PSMB3	3438.333	-0.163	0.321	-0.509	0.607	5.000
VIPR2-5	VIPR2	3435.333	-0.004	0.321	-0.013	0.176	5.000
ERICH5-3	ERICH5	3403.667	0.207	0.321	0.645	0.380	5.000
ASPG-4	ASPG	3379.000	-0.078	0.321	-0.245	0.388	5.000
MED12-5	MED12	3369.333	2.041	0.321	6.364	0.213	5.000
LMO4-5	LMO4	3349.000	0.168	0.321	0.524	0.176	5.000
F10-2	F10	3262.667	0.131	0.321	0.409	0.175	5.000
PRR21-5	PRR21	3241.667	0.100	0.321	0.311	0.132	5.000
TNNC2-2	TNNC2	3138.667	-0.058	0.321	-0.182	0.489	5.000
RNF43-5	RNF43	3117.667	-0.017	0.321	-0.053	0.289	5.000
chr17_4	chr17_4	3115.333	0.154	0.321	0.482	0.000	1.000
CDKN1A-1	CDKN1A	3112.000	0.613	0.321	1.913	0.464	5.000
DUSP18-1	DUSP18	3093.333	0.041	0.321	0.128	0.065	5.000
CCDC97-5	CCDC97	3058.667	0.073	0.321	0.229	0.214	5.000
EPDR1-5	EPDR1	3044.667	-0.103	0.321	-0.320	0.164	5.000
HSBP1-1	HSBP1	3034.333	0.326	0.321	1.015	0.332	5.000
CYP24A1-4	CYP24A1	3025.333	-0.094	0.321	-0.293	0.306	5.000
LY6G5C-5	LY6G5C	3022.333	-0.032	0.321	-0.098	0.260	5.000
CH25H-4	CH25H	3020.667	0.240	0.321	0.750	0.221	5.000
GCG-1	GCG	2996.000	-0.052	0.321	-0.164	0.222	5.000
IL2RG-5	IL2RG	2994.667	0.240	0.321	0.748	0.593	5.000
SFMBT1-1	SFMBT1	2990.667	0.152	0.321	0.474	0.177	5.000
FZD10-4	FZD10	2965.667	0.215	0.321	0.672	0.184	5.000
DUSP18-5	DUSP18	2961.333	0.037	0.321	0.115	0.065	5.000
MSH3-1	MSH3	2961.000	-0.026	0.321	-0.082	0.111	5.000
SHROOM2-5	SHROOM2	2937.000	0.104	0.321	0.324	0.314	5.000
NELL1-4	NELL1	2935.000	0.037	0.321	0.116	0.301	5.000
SESN1-2	SESN1	2934.000	-0.079	0.321	-0.248	0.517	5.000
ACE2-5	ACE2	2924.667	0.242	0.321	0.753	0.292	5.000
LFNG-3	LFNG	2922.000	0.327	0.321	1.018	0.294	5.000
TYMSOS-3	TYMSOS	2904.667	0.181	0.321	0.564	0.263	5.000
KRTAP12-4-4	KRTAP12-4	2893.667	0.010	0.321	0.030	0.351	5.000
chrX_6	chrX_6	2893.667	0.075	0.321	0.234	0.000	1.000
TBC1D9-5	TBC1D9	2890.333	0.098	0.321	0.306	0.152	5.000
CRISPLD2-3	CRISPLD2	2884.000	0.062	0.321	0.192	0.330	5.000
HDAC5-2	HDAC5	2874.667	0.061	0.321	0.191	0.216	5.000
ELF5-1	ELF5	2873.333	-0.099	0.321	-0.308	0.227	5.000
KLLN-2	KLLN	2868.667	0.134	0.321	0.418	0.239	5.000
TTC7A-5	TTC7A	2860.667	0.152	0.321	0.475	0.295	5.000
SHROOM2-1	SHROOM2	2842.333	0.335	0.321	1.043	0.314	5.000
ETV3L-4	ETV3L	2834.000	-0.074	0.321	-0.232	0.381	5.000
CPLX2-2	CPLX2	2831.000	-0.019	0.321	-0.059	0.353	5.000
GNA11-2	GNA11	2826.000	0.411	0.321	1.282	0.656	5.000
KLK11-2	KLK11	2824.000	-0.090	0.321	-0.280	0.245	5.000
CDCA7L-1	CDCA7L	2824.000	0.036	0.321	0.114	0.224	5.000
IQSEC3-5	IQSEC3	2822.000	-0.033	0.321	-0.103	0.114	5.000
APOL1-1	APOL1	2812.000	0.078	0.321	0.242	0.396	5.000
MFHAS1-4	MFHAS1	2808.667	0.323	0.321	1.007	0.873	5.000
EHD3-1	EHD3	2803.333	0.051	0.321	0.160	0.382	5.000
chr19_3	chr19_3	2801.667	0.103	0.321	0.321	0.000	1.000
FGF13-5	FGF13	2797.000	-0.295	0.321	-0.921	0.404	5.000
MGAT3-4	MGAT3	2796.000	0.102	0.321	0.318	0.231	5.000
ZKSCAN8-5	ZKSCAN8	2794.000	1.449	0.321	4.520	1.425	5.000
chr10_5	chr10_5	2793.000	0.117	0.321	0.364	0.000	1.000
CCR1-5	CCR1	2774.333	0.046	0.321	0.143	0.125	5.000
MAML1-5	MAML1	2770.333	-0.018	0.321	-0.056	0.452	5.000
BLCAP-3	BLCAP	2764.333	0.064	0.321	0.200	0.238	5.000
HLA-DMA-5	HLA-DMA	2761.000	0.102	0.321	0.319	0.251	5.000
PNMA1-1	PNMA1	2753.333	0.054	0.321	0.168	0.394	5.000
NUP133-4	NUP133	2751.667	0.173	0.321	0.538	0.621	5.000
CDKN1A-4	CDKN1A	2751.000	0.675	0.321	2.106	0.464	5.000
chr17_9	chr17_9	2749.667	-0.029	0.321	-0.090	0.000	1.000
TMEM30A-5	TMEM30A	2747.333	0.132	0.321	0.411	1.603	5.000
NEIL3-4	NEIL3	2739.667	0.074	0.321	0.232	0.190	5.000
ZDHHC1-4	ZDHHC1	2720.333	0.121	0.321	0.379	0.190	5.000
SLC38A4-3	SLC38A4	2705.333	0.030	0.321	0.093	0.298	5.000
RSPH14-4	RSPH14	2704.667	-0.001	0.321	-0.003	0.080	5.000
TNNT1-2	TNNT1	2703.667	0.124	0.321	0.387	0.387	5.000
chr20_1	chr20_1	2700.000	0.087	0.321	0.271	0.000	1.000
UCN2-4	UCN2	2698.667	0.019	0.321	0.060	0.246	5.000
GRP-1	GRP	2698.333	0.253	0.321	0.788	0.421	5.000
GNG4-1	GNG4	2697.333	0.068	0.321	0.211	0.170	5.000
